month_year,sutter,yolo
September 2003,0,0
August 2003,0,0
July 2003,0,0
June 2003,0,0
May 2003,5446,0
April 2003,0,0
March 2003,0,0
February 2003,0,0
January 2003,19050,3496
December 2002,7571,479
November 2002,0,0
October 2002,0,0
September 2002,0,0
August 2002,0,0
July 2002,0,0
June 2002,0,0
May 2002,0,0
April 2002,0,0
March 2002,0,0
February 2002,0,0
January 2002,9558,1789
December 2001,1442,0
November 2001,0,0
October 2001,0,0
September 2001,0,0
August 2001,0,0
July 2001,0,0
June 2001,0,0
May 2001,0,0
April 2001,0,0
March 2001,0,0
February 2001,0,0
January 2001,0,0
December 2000,0,0
November 2000,0,0
October 2000,0,0
September 2000,0,0
August 2000,0,0
July 2000,0,0
June 2000,0,0
May 2000,0,0
April 2000,0,0
March 2000,9345,12275
February 2000,36768,28316
January 2000,0,0
December 1999,0,0
November 1999,0,0
October 1999,0,0
September 1999,0,0
August 1999,0,0
July 1999,0,0
June 1999,0,0
May 1999,0,0
April 1999,0,0
March 1999,8433,4490
February 1999,28798,24444
January 1999,0,1492
December 1998,832,0
November 1998,0,0
October 1998,0,0
September 1998,0,0
August 1998,0,0
July 1998,0,0
June 1998,8914,2686
May 1998,6434,0
April 1998,0,0
March 1998,18071,13464
February 1998,84713.3,113104
January 1998,21219,14491
December 1997,0,0
November 1997,0,0
October 1997,0,0
September 1997,0,0
August 1997,0,0
July 1997,0,0
June 1997,0,0
May 1997,0,0
April 1997,0,0
March 1997,0,0
February 1997,0,3490
January 1997,52322,105427
December 1996,12633,5737
November 1996,0,0
October 1996,0,0
September 1996,0,0
August 1996,0,0
July 1996,0,0
June 1996,0,0
May 1996,0,954
April 1996,0,0
March 1996,5590,3624
February 1996,36055,37748
January 1996,1031,694
December 1995,0,0
November 1995,0,0
October 1995,0,0
September 1995,0,0
August 1995,0,0
July 1995,0,0
June 1995,0,0
May 1995,4900,7952
April 1995,0,0
March 1995,67443,84273
February 1995,8691,798
January 1995,41327,31298
December 1994,0,0
November 1994,0,0
October 1994,0,0
September 1994,0,0
August 1994,0,0
July 1994,0,0
June 1994,0,0
May 1994,0,0
April 1994,0,0
March 1994,0,0
February 1994,0,0
January 1994,0,0
December 1993,0,0
November 1993,0,0
October 1993,0,0
September 1993,0,0
August 1993,0,0
July 1993,0,0
June 1993,0,0
May 1993,0,0
April 1993,0,0
March 1993,0,0
February 1993,8965,1047
January 1993,12690,3780
December 1992,0,0
November 1992,0,0
October 1992,0,0
September 1992,0,0
August 1992,0,0
July 1992,0,0
June 1992,0,0
May 1992,0,0
April 1992,0,0
March 1992,0,0
February 1992,419,0
January 1992,0,0
December 1991,0,0
November 1991,0,0
October 1991,0,0
September 1991,0,0
August 1991,0,0
July 1991,0,0
June 1991,0,0
May 1991,0,0
April 1991,0,0
March 1991,0,0
February 1991,0,0
January 1991,0,0
December 1990,0,0
November 1990,0,0
October 1990,0,0
September 1990,0,0
August 1990,0,0
July 1990,0,0
June 1990,0,0
May 1990,0,0
April 1990,0,0
March 1990,0,0
February 1990,0,0
January 1990,0,0
December 1989,0,0
November 1989,0,0
October 1989,0,0
September 1989,0,0
August 1989,0,0
July 1989,0,0
June 1989,0,0
May 1989,0,0
April 1989,0,0
March 1989,3945,368
February 1989,0,0
January 1989,0,0
December 1988,0,0
November 1988,0,0
October 1988,0,0
September 1988,0,0
August 1988,0,0
July 1988,0,0
June 1988,0,0
May 1988,0,0
April 1988,0,0
March 1988,0,0
February 1988,0,0
January 1988,121,0
December 1987,0,0
November 1987,0,0
October 1987,0,0
September 1987,0,0
August 1987,0,0
July 1987,0,0
June 1987,0,0
May 1987,0,0
April 1987,0,0
March 1987,0,0
February 1987,0,0
January 1987,0,0
December 1986,0,0
November 1986,0,0
October 1986,0,0
September 1986,0,0
August 1986,0,0
July 1986,0,0
June 1986,0,0
May 1986,0,0
April 1986,0,0
March 1986,28407,38880
February 1986,66689,72070
January 1986,0,0
December 1985,0,0
November 1985,0,0
October 1985,0,0
September 1985,0,0
August 1985,0,0
July 1985,0,0
June 1985,0,0
May 1985,0,0
April 1985,0,0
March 1985,0,0
February 1985,0,0
January 1985,0,0
December 1984,0,0
November 1984,0,0
October 1984,0,0
September 1984,0,0
August 1984,0,0
July 1984,0,0
June 1984,0,0
May 1984,0,0
April 1984,0,0
March 1984,0,0
February 1984,0,0
January 1984,554,161
December 1983,39836,49579
November 1983,6258,7899
October 1983,0,0
September 1983,0,0
August 1983,0,0
July 1983,0,0
June 1983,0,0
May 1983,2766,0
April 1983,11273,1339
March 1983,75771,91981
February 1983,55139,56033
January 1983,23259,12905
December 1982,9632,5136
November 1982,0,0
October 1982,0,0
September 1982,0,0
August 1982,0,0
July 1982,0,0
June 1982,0,0
May 1982,0,0
April 1982,21710,33746
March 1982,7088,4735
February 1982,18385,23277
January 1982,4565,5871
December 1981,21775,14216
November 1981,2002,1195
October 1981,0,0
September 1981,0,0
August 1981,0,0
July 1981,0,0
June 1981,0,0
May 1981,0,0
April 1981,0,0
March 1981,0,0
February 1981,0,0
January 1981,0,0
December 1980,0,0
November 1980,0,0
October 1980,0,0
September 1980,0,0
August 1980,0,0
July 1980,0,0
June 1980,0,0
May 1980,0,0
April 1980,0,0
March 1980,663,0
February 1980,35130,35944
January 1980,20679,15241
December 1979,0,0
November 1979,0,0
October 1979,0,0
September 1979,0,0
August 1979,0,0
July 1979,0,0
June 1979,0,0
May 1979,0,0
April 1979,0,0
March 1979,0,0
February 1979,0,373
January 1979,0,0
December 1978,0,0
November 1978,0,0
October 1978,0,0
September 1978,0,0
August 1978,0,0
July 1978,0,0
June 1978,0,0
May 1978,0,0
April 1978,733,0
March 1978,17592,5971
February 1978,10283,687
January 1978,18287,8199
December 1977,0,0
November 1977,0,0
October 1977,0,0
September 1977,0,0
August 1977,0,0
July 1977,0,0
June 1977,0,0
May 1977,0,0
April 1977,0,0
March 1977,0,0
February 1977,0,0
January 1977,0,0
December 1976,0,0
November 1976,0,0
October 1976,0,0
September 1976,0,0
August 1976,0,0
July 1976,0,0
June 1976,0,0
May 1976,0,0
April 1976,0,0
March 1976,0,0
February 1976,0,0
January 1976,0,0
December 1975,0,0
November 1975,0,0
October 1975,0,0
September 1975,0,0
August 1975,0,0
July 1975,0,0
June 1975,0,0
May 1975,0,0
April 1975,0,0
March 1975,28050,16214
February 1975,6286,1353
January 1975,0,0
December 1974,0,0
November 1974,0,0
October 1974,0,0
September 1974,0,0
August 1974,0,0
July 1974,0,0
June 1974,0,0
May 1974,0,0
April 1974,6027,4496
March 1974,29061,28977
February 1974,0,0
January 1974,51110,51911
December 1973,18461,915
November 1973,19139,7615
October 1973,0,0
September 1973,0,0
August 1973,0,0
July 1973,0,0
June 1973,0,0
May 1973,0,0
April 1973,0,0
March 1973,4784,1380
February 1973,21316,7450
January 1973,19070,10458
December 1972,0,0
November 1972,0,0
October 1972,0,0
September 1972,0,0
August 1972,0,0
July 1972,0,0
June 1972,0,0
May 1972,0,0
April 1972,0,0
March 1972,0,0
February 1972,0,0
January 1972,0,0
December 1971,0,0
November 1971,0,0
October 1971,0,0
September 1971,0,0
August 1971,0,0
July 1971,0,0
June 1971,0,0
May 1971,0,0
April 1971,0,0
March 1971,6210,1318
February 1971,0,0
January 1971,10247,135
December 1970,7069,0
November 1970,0,0
October 1970,0,0
September 1970,0,0
August 1970,0,0
July 1970,0,0
June 1970,0,0
May 1970,0,0
April 1970,0,0
March 1970,0,0
February 1970,9358,11299
January 1970,75013.2,99107
December 1969,7565,4799
November 1969,0,0
October 1969,0,0
September 1969,0,0
August 1969,0,0
July 1969,0,0
June 1969,0,0
May 1969,0,0
April 1969,787,0
March 1969,1964,581
February 1969,31573,29933
January 1969,36572,33375
December 1968,0,0
November 1968,0,0
October 1968,0,0
September 1968,0,0
August 1968,0,0
July 1968,0,0
June 1968,0,0
May 1968,0,0
April 1968,0,0
March 1968,0,38
February 1968,9029,4288
January 1968,0,0
December 1967,0,0
November 1967,0,0
October 1967,0,0
September 1967,0,0
August 1967,0,0
July 1967,0,0
June 1967,0,0
May 1967,307,0
April 1967,1847,0
March 1967,4936,1829
February 1967,4672,2788
January 1967,7254,3589
December 1966,3463,0
November 1966,0,0
October 1966,0,0
September 1966,0,0
August 1966,0,0
July 1966,0,0
June 1966,0,0
May 1966,0,0
April 1966,0,0
March 1966,0,0
February 1966,0,0
January 1966,0,0
December 1965,0,0
November 1965,0,0
October 1965,0,0
September 1965,0,0
August 1965,0,0
July 1965,0,0
June 1965,0,0
May 1965,0,0
April 1965,1589,0
March 1965,0,0
February 1965,0,0
January 1965,26540,25301
December 1964,20835,17650
November 1964,0,0
October 1964,0,0
September 1964,0,0
August 1964,0,0
July 1964,0,0
June 1964,0,0
May 1964,0,0
April 1964,0,0
March 1964,0,0
February 1964,0,0
January 1964,0,0
December 1963,0,0
November 1963,0,0
October 1963,0,0
September 1963,0,0
August 1963,0,0
July 1963,0,0
June 1963,0,0
May 1963,0,0
April 1963,27828,20765
March 1963,0,107
February 1963,6147,2634
January 1963,0,0
December 1962,0,0
November 1962,0,0
October 1962,0,1968
September 1962,0,0
August 1962,0,0
July 1962,0,0
June 1962,0,0
May 1962,0,0
April 1962,0,0
March 1962,0,0
February 1962,11872,6152
January 1962,0,0
December 1961,0,0
November 1961,0,0
October 1961,0,0
September 1961,0,0
August 1961,0,0
July 1961,0,0
June 1961,0,0
May 1961,0,0
April 1961,0,0
March 1961,0,0
February 1961,5618,0
January 1961,0,0
December 1960,0,0
November 1960,0,0
October 1960,0,0
September 1960,0,0
August 1960,0,0
July 1960,0,0
June 1960,0,0
May 1960,0,0
April 1960,0,0
March 1960,0,0
February 1960,1326,0
January 1960,0,0
December 1959,0,0
November 1959,0,0
October 1959,0,0
September 1959,0,0
August 1959,0,0
July 1959,0,0
June 1959,0,0
May 1959,0,0
April 1959,0,0
March 1959,0,0
February 1959,8574,2998
January 1959,0,0
December 1958,0,0
November 1958,0,0
October 1958,0,0
September 1958,0,0
August 1958,0,0
July 1958,0,0
June 1958,0,0
May 1958,0,0
April 1958,13442,6545
March 1958,40373,35370
February 1958,82394,59788
January 1958,7719,169
December 1957,0,0
November 1957,0,0
October 1957,0,0
September 1957,0,0
August 1957,0,0
July 1957,0,0
June 1957,0,0
May 1957,0,0
April 1957,0,0
March 1957,0,0
February 1957,0,584
January 1957,0,0
December 1956,0,0
November 1956,0,0
October 1956,0,0
September 1956,0,0
August 1956,0,0
July 1956,0,0
June 1956,0,0
May 1956,0,0
April 1956,0,0
March 1956,0,0
February 1956,19076,9385
January 1956,53016,47053
December 1955,31313,20030
November 1955,0,0
October 1955,0,0
September 1955,0,0
August 1955,0,0
July 1955,0,0
June 1955,0,0
May 1955,0,0
April 1955,0,0
March 1955,0,0
February 1955,0,0
January 1955,0,0
December 1954,0,0
November 1954,0,0
October 1954,0,0
September 1954,0,0
August 1954,0,0
July 1954,0,0
June 1954,0,0
May 1954,0,0
April 1954,2144,0
March 1954,5388,0
February 1954,18548,9434
January 1954,0,0
December 1953,0,0
November 1953,0,0
October 1953,0,0
September 1953,0,0
August 1953,0,0
July 1953,0,0
June 1953,0,0
May 1953,0,0
April 1953,0,0
March 1953,0,0
February 1953,0,0
January 1953,38673,23965
December 1952,2654,0
November 1952,0,0
October 1952,0,0
September 1952,0,0
August 1952,0,0
July 1952,0,0
June 1952,0,0
May 1952,0,146
April 1952,5648,6913
March 1952,6631,103
February 1952,16251,8096
January 1952,14945,6689
December 1951,3015,0
November 1951,0,0
October 1951,0,0
September 1951,0,0
August 1951,0,0
July 1951,0,0
June 1951,0,0
May 1951,0,0
April 1951,0,0
March 1951,0,0
February 1951,9636,5129
January 1951,3281,347
December 1950,10776,2406
November 1950,0,0
October 1950,0,0
September 1950,0,0
August 1950,0,0
July 1950,0,0
June 1950,0,0
May 1950,0,0
April 1950,0,0
March 1950,0,0
February 1950,0,245
January 1950,0,0
December 1949,0,0
November 1949,0,0
October 1949,0,0
September 1949,0,0
August 1949,0,0
July 1949,0,0
June 1949,0,0
May 1949,0,0
April 1949,0,0
March 1949,8012,976
February 1949,0,0
January 1949,0,0
December 1948,0,0
November 1948,0,0
October 1948,0,0
September 1948,0,0
August 1948,0,0
July 1948,0,0
June 1948,0,0
May 1948,0,0
April 1948,0,0
March 1948,0,0
February 1948,0,0
January 1948,0,0
December 1947,0,0
November 1947,0,0
October 1947,0,0
September 1947,0,0
August 1947,0,0
July 1947,0,0
June 1947,0,0
May 1947,0,0
April 1947,0,0
March 1947,0,0
February 1947,0,0
January 1947,0,0
December 1946,0,0
November 1946,0,0
October 1946,0,0
September 1946,0,0
August 1946,0,0
July 1946,0,0
June 1946,0,0
May 1946,0,0
April 1946,0,0
March 1946,0,0
February 1946,0,0
January 1946,6093,0
December 1945,22219,11181
November 1945,0,0
October 1945,0,0
September 1945,0,0
August 1945,0,0
July 1945,0,0
June 1945,0,0
May 1945,0,0
April 1945,0,0
March 1945,0,0
February 1945,2888,384
January 1945,0,0
December 1944,0,0
November 1944,0,0
October 1944,0,0
September 1944,0,0
August 1944,0,0
July 1944,0,0
June 1944,0,0
May 1944,0,0
April 1944,0,0
March 1944,0,0
February 1944,0,0
January 1944,0,0
December 1943,0,0
November 1943,0,0
October 1943,0,0
September 1943,0,0
August 1943,0,0
July 1943,0,0
June 1943,0,0
May 1943,0,0
April 1943,0,0
March 1943,7191,8523
February 1943,5960,1701
January 1943,7485,763
December 1942,0,0
November 1942,0,0
October 1942,0,0
September 1942,0,0
August 1942,0,0
July 1942,0,0
June 1942,0,0
May 1942,0,0
April 1942,0,0
March 1942,0,0
February 1942,45224,46430
January 1942,16155,8867
December 1941,8319,2347
November 1941,0,0
October 1941,0,0
September 1941,0,0
August 1941,0,0
July 1941,0,0
June 1941,0,0
May 1941,750,0
April 1941,22835,5982
March 1941,20506,11895
February 1941,37554,27924
January 1941,42060,20253
December 1940,2750,0
November 1940,0,0
October 1940,0,0
September 1940,0,0
August 1940,0,0
July 1940,0,0
June 1940,0,0
May 1940,0,0
April 1940,2960,1809
March 1940,22094,24272
February 1940,18089,2385
January 1940,690,0
December 1939,0,0
November 1939,0,0
October 1939,0,0
September 1939,0,0
August 1939,0,0
July 1939,0,0
June 1939,0,0
May 1939,0,0
April 1939,0,0
March 1939,0,0
February 1939,0,0
January 1939,0,0
December 1938,0,0
November 1938,0,0
October 1938,0,0
September 1938,0,0
August 1938,0,0
July 1938,0,0
June 1938,0,0
May 1938,0,32
April 1938,5391,3035
March 1938,55111,53224
February 1938,45193,26626
January 1938,0,0
December 1937,17667,3531
November 1937,41,0
October 1937,0,0
September 1937,0,0
August 1937,0,0
July 1937,0,0
June 1937,0,0
May 1937,0,0
April 1937,0,0
March 1937,0,0
February 1937,0,0
January 1937,0,0
December 1936,0,0
November 1936,0,0
October 1936,0,0
September 1936,0,0
August 1936,0,0
July 1936,0,0
June 1936,0,0
May 1936,0,0
April 1936,0,0
March 1936,0,0
February 1936,6215,39
January 1936,1274,0
December 1935,0,0
November 1935,0,0
October 1935,0,0
September 1935,0,0
August 1935,0,0
July 1935,0,0
June 1935,0,0
May 1935,0,0
April 1935,5409,546
March 1935,0,0
February 1935,0,0
January 1935,0,0
December 1934,0,0
November 1934,0,0
October 1934,0,0
September 1934,0,0
August 1934,0,0
July 1934,0,0
June 1934,0,0
May 1934,0,0
April 1934,0,0
March 1934,0,0
February 1934,0,0
January 1934,0,0
December 1933,0,0
November 1933,0,0
October 1933,0,0
September 1933,0,0
August 1933,0,0
July 1933,0,0
June 1933,0,0
May 1933,0,0
April 1933,0,0
March 1933,0,0
February 1933,0,0
January 1933,0,0
December 1932,0,0
November 1932,0,0
October 1932,0,0
September 1932,0,0
August 1932,0,0
July 1932,0,0
June 1932,0,0
May 1932,0,0
April 1932,0,0
March 1932,0,0
February 1932,0,0
January 1932,0,0
December 1931,0,0
November 1931,0,0
October 1931,0,0
September 1931,0,0
August 1931,0,0
July 1931,0,0
June 1931,0,0
May 1931,0,0
April 1931,0,0
March 1931,0,0
February 1931,0,0
January 1931,0,0
December 1930,0,0
November 1930,0,0
October 1930,0,0
September 1930,0,0
August 1930,0,0
July 1930,0,0
June 1930,0,0
May 1930,0,0
April 1930,0,0
March 1930,0,0
February 1930,0,0
January 1930,0,0
December 1929,0,0
November 1929,0,0
October 1929,0,0
September 1929,0,0
August 1929,0,0
July 1929,0,0
June 1929,0,0
May 1929,0,0
April 1929,0,0
March 1929,0,0
February 1929,0,0
January 1929,0,0
December 1928,0,0
November 1928,0,0
October 1928,0,0
September 1928,0,0
August 1928,0,0
July 1928,0,0
June 1928,0,0
May 1928,0,0
April 1928,0,0
March 1928,9634,6121
February 1928,0,0
January 1928,0,0
December 1927,0,0
November 1927,0,0
October 1927,0,0
September 1927,0,0
August 1927,0,0
July 1927,0,0
June 1927,0,0
May 1927,0,0
April 1927,2480,169
March 1927,0,0
February 1927,47459,35251
January 1927,0,0
December 1926,0,0
November 1926,0,0
October 1926,0,0
September 1926,0,0
August 1926,0,0
July 1926,0,0
June 1926,0,0
May 1926,0,0
April 1926,0,0
March 1926,0,0
February 1926,5607,208
January 1926,0,0
