month_year,sutter,yolo
December 1925,0,0
November 1925,0,0
October 1925,0,0
September 1925,0,0
August 1925,0,0
July 1925,0,0
June 1925,0,0
May 1925,0,0
April 1925,0,0
March 1925,0,0
February 1925,18183,10245
January 1925,0,0
December 1924,0,0
November 1924,0,0
October 1924,0,0
September 1924,0,0
August 1924,0,0
July 1924,0,0
June 1924,0,0
May 1924,0,0
April 1924,0,0
March 1924,0,0
February 1924,0,0
January 1924,0,0
December 1923,0,0
November 1923,0,0
October 1923,0,0
September 1923,0,0
August 1923,0,0
July 1923,0,0
June 1923,0,0
May 1923,0,0
April 1923,0,0
March 1923,0,0
February 1923,0,0
January 1923,0,0
December 1922,0,0
November 1922,0,0
October 1922,0,0
September 1922,0,0
August 1922,0,0
July 1922,0,0
June 1922,0,0
May 1922,0,0
April 1922,0,0
March 1922,0,0
February 1922,0,0
January 1922,0,0
December 1921,0,0
November 1921,0,0
October 1921,0,0
