date,MidSac at WilkinsSlough, Sutter Bypass,Sutter Bypass as a percent of Sacramento,Low sac at SacAmerican,YoloBypass,Yolo as a percent of Sacramento,LowSJ at Merced,UpSac atRedBluff,UpSJ at LanderAve
2/1/1981,8208,0,0,19847,464.4,2.34%,979.2,5921,216.4
3/1/1981,12912,0,0,28534,543.2,1.90%,875.8,11166,259.7
4/1/1981,9657,0,0,21820,556.6,2.55%,1346,8827,343.7
5/1/1981,7311,0,0,14235,506,3.55%,942,10233,551.6
6/1/1981,6227,0,0,14589,948.6,6.50%,803.5,14269,798.6
7/1/1981,8352,0,0,19490,1154,5.92%,1275,14888,1322
8/1/1981,4596,0,0,14580,1346,9.23%,1213,7948,1212
9/1/1981,4596,0,0,9343,1133,12.13%,1250,4375,1206
10/1/1981,4892,0,0,12077,499.9,4.14%,1171,5473,662.2
11/1/1981,6210,2002,0.3223832528,14698,636.4,4.33%,1898,4867,848
12/1/1981,6613,21775,3.292756691,14779,295.6,2.00%,942.8,5021,337.9
1/1/1982,10167,4565,0.4490016721,28350,290.5,1.02%,2159,6801,635.3
2/1/1982,77357,18385,0.2376643355,77001,96769,125.67%,10910,57191,4988
3/1/1982,34420,7088,0.2059267868,74741,47938,64.14%,22284,26876,15413
4/1/1982,16631,21710,1.305393542,35639,2239,6.28%,7704,14188,5813
5/1/1982,4347,0,0,15476,422.9,2.73%,5201,6341,2985
6/1/1982,6197,0,0,15405,856.1,5.56%,3809,13177,3023
7/1/1982,6634,0,0,19067,1050,5.51%,1430,11510,1397
8/1/1982,4347,0,0,9851,1421,14.42%,1889,8811,1160
9/1/1982,4347,0,0,10202,1246,12.21%,1937,4128,1231
10/1/1982,4348,0,0,11402,437.9,3.84%,977.7,4649,509.4
11/1/1982,4595,0,0,13188,636.8,4.83%,1144,3923,712.8
12/1/1982,4976,9632,1.935691318,13004,280.5,2.16%,486.7,3881,135.1
1/1/1983,6636,23259,3.504972875,17398,266.5,1.53%,596,4932,147.3
2/1/1983,8331,55139,6.618533189,18959,710.1,3.75%,1031,5671,403.2
3/1/1983,20459,75771,3.703553448,33682,819.4,2.43%,1068,16389,405.8
4/1/1983,10261,11273,1.098625865,17282,653.2,3.78%,1418,9396,430.7
5/1/1983,5100,2766,0.5423529412,8353,425.6,5.10%,860.6,7510,676.3
6/1/1983,5977,0,0,9578,967.2,10.10%,793,14406,793.1
7/1/1983,7235,0,0,11315,1069,9.45%,956,12090,1020
8/1/1983,4199,0,0,6846,1169,17.08%,1019,9297,1054
9/1/1983,4199,0,0,7451,1041,13.97%,1007,4663,1061
10/1/1983,4364,0,0,8319,742.5,8.93%,893.4,4799,652
11/1/1983,4200,6258,1.49,9025,309.8,3.43%,913.5,3986,575.6
12/1/1983,7739,39836,5.147435069,15366,809.3,5.27%,549.4,5491,155.4
1/1/1984,15263,554,0.0362969272,25563,2429,9.50%,690.5,8791,235.8
2/1/1984,9029,0,0,16636,284.2,1.71%,871.4,6341,388.5
3/1/1984,9642,0,0,14837,246.5,1.66%,1815,8598,1152
4/1/1984,8283,0,0,13180,464.7,3.53%,1384,7703,487
5/1/1984,3381,0,0,6381,600.5,9.41%,1018,5647,679.6
6/1/1984,5480,0,0,8743,637.5,7.29%,899.2,11978,739.4
7/1/1984,8128,0,0,12753,959.5,7.52%,719.8,14413,841
8/1/1984,4550,0,0,8001,1188,14.85%,1156,9159,1202
9/1/1984,3381,0,0,6458,1183,18.32%,1138,4655,1151
10/1/1984,3984,0,0,9328,642,6.88%,905.7,4598,648.5
11/1/1984,6396,0,0,13278,288.1,2.17%,1387,4906,510.7
12/1/1984,7412,0,0,14261,319.6,2.24%,823.2,5528,304.3
1/1/1985,6811,0,0,13387,233,1.74%,707.9,5093,295.1
2/1/1985,6050,0,0,11807,252.5,2.14%,703.6,4504,259.8
3/1/1985,16347,0,0,51255,356.4,0.70%,1782,10656,1396
4/1/1985,12620,0,0,35151,587.1,1.67%,1326,10646,459.3
5/1/1985,4559,0,0,16589,696.1,4.20%,857.4,7202,688.8
6/1/1985,4012,0,0,15123,818.8,5.41%,698.7,11661,721
7/1/1985,6544,0,0,17020,1058,6.22%,918.6,12704,1068
8/1/1985,3712,0,0,12482,1191,9.54%,1110,8502,1176
9/1/1985,4417,0,0,12282,1387,11.29%,1283,4407,1222
10/1/1985,5211,0,0,12990,603.2,4.64%,1476,4769,552.3
11/1/1985,5359,0,0,11631,385.5,3.31%,886.6,4372,582.9
12/1/1985,4563,0,0,10173,261.8,2.57%,472.9,3862,139.8
1/1/1986,7391,0,0,16759,331,1.98%,459.6,5287,129.8
2/1/1986,7116,66689,9.371697583,13901,1052,7.57%,605.8,4982,193.9
3/1/1986,10609,28407,2.677632199,19196,213.9,1.11%,548.4,9398,125.8
4/1/1986,6724,0,0,12902,350.9,2.72%,856,6930,613
5/1/1986,4218,0,0,8701,702.1,8.07%,573.8,5183,381.8
6/1/1986,7691,0,0,11776,680.8,5.78%,608.2,14944,630.7
7/1/1986,6328,0,0,8907,982.7,11.03%,742.3,12589,898.4
8/1/1986,4182,0,0,9216,1144,12.41%,985.3,8473,1068
9/1/1986,3344,0,0,6448,1125,17.45%,1188,5195,1171
10/1/1986,3250,0,0,8900,655.9,7.37%,868.4,4096,665.2
11/1/1986,4131,0,0,7960,532.4,6.69%,809.8,3781,440.5
12/1/1986,4634,0,0,8439,261.2,3.10%,575.6,3871,154.5
1/1/1987,4323,0,0,7505,222.6,2.97%,388,3896,131
2/1/1987,5652,0,0,11745,325.2,2.77%,492.3,4229,149.3
3/1/1987,9227,0,0,23075,1517,6.57%,2733,6242,1935
4/1/1987,6928,0,0,13953,250.6,1.80%,2402,5071,1416
5/1/1987,4736,0,0,10074,343,3.40%,809.4,6178,382.2
6/1/1987,4573,0,0,11058,673,6.09%,611.6,9278,550.5
7/1/1987,3301,0,0,8783,818.9,9.32%,791.8,6598,897.3
8/1/1987,3373,0,0,6834,1017,14.88%,1170,6419,1228
9/1/1987,3397,0,0,7116,1001,14.07%,1068,5195,1053
10/1/1987,3387,0,0,8195,765.9,9.35%,1430,5092,753
11/1/1987,4533,0,0,8477,553.6,6.53%,1221,3996,940.1
12/1/1987,5224,0,0,11712,245.6,2.10%,699.4,4342,213.9
1/1/1988,5506,121,0.0219760262,11746,237.8,2.02%,640,4479,206.1
2/1/1988,9910,0,0,22759,2619,11.51%,1742,6666,963.2
3/1/1988,8751,0,0,18273,710.3,3.89%,2060,6144,1319
4/1/1988,8877,0,0,16182,268.1,1.66%,1320,8058,359
5/1/1988,7301,0,0,11729,377.5,3.22%,796.1,11495,476.2
6/1/1988,5064,0,0,8849,885.6,10.01%,779.9,11238,774.1
7/1/1988,6138,0,0,9827,993.4,10.11%,915.5,11553,1028
8/1/1988,3308,0,0,6313,1230,19.48%,1005,9110,1085
9/1/1988,3741,0,0,7350,1010,13.74%,1025,5895,1064
10/1/1988,3335,0,0,7892,734.9,9.31%,1221,4205,904.4
11/1/1988,3837,0,0,8369,243.4,2.91%,1394,3825,529.9
12/1/1988,6823,0,0,15542,1149,7.39%,881.9,5246,353.5
1/1/1989,22056,0,0,47889,6713,14.02%,2385,12592,1608
2/1/1989,21512,0,0,51545,6716,13.03%,4275,12345,3382
3/1/1989,26040,3945,0.1514976959,74356,10520,14.15%,9196,21276,5734
4/1/1989,17953,0,0,38162,297.2,0.78%,3998,15496,2484
5/1/1989,6846,0,0,21525,387.6,1.80%,4340,7087,2484
6/1/1989,7334,0,0,17066,773.9,4.53%,1343,12545,978
7/1/1989,5292,0,0,19429,836.5,4.31%,1158,11650,1186
8/1/1989,5527,0,0,14432,1023,7.09%,1624,10118,1234
9/1/1989,4760,0,0,8677,1086,12.52%,1452,6201,1100
10/1/1989,5969,0,0,13672,680.5,4.98%,1355,6572,1015
11/1/1989,4760,0,0,12862,371,2.88%,1636,4879,724.8
12/1/1989,5412,0,0,14812,235.2,1.59%,823.7,4457,277.1
1/1/1990,6746,0,0,16234,262.6,1.62%,693,5106,217.5
2/1/1990,8749,0,0,21713,742.4,3.42%,1077,6013,544.2
3/1/1990,11612,0,0,18759,248.3,1.32%,1980,10189,1411
4/1/1990,7310,0,0,13471,919,6.82%,1128,7063,623.7
5/1/1990,4138,0,0,6857,401.5,5.86%,1515,6481,722.3
6/1/1990,8708,0,0,12217,729.5,5.97%,870.5,16514,674.1
7/1/1990,8938,0,0,16770,1007,6.00%,792.7,15605,908.4
8/1/1990,11022,0,0,14609,1070,7.32%,1060,15681,1142
9/1/1990,6182,0,0,9380,1051,11.20%,1176,7669,1172
10/1/1990,9725,0,0,12313,764,6.20%,882.5,11173,637.7
11/1/1990,5224,0,0,12302,561,4.56%,1470,4486,612.3
12/1/1990,7086,0,0,14332,219,1.53%,816.9,5233,310.8
1/1/1991,46486,0,0,74996,37800,50.40%,2311,24291,1557
2/1/1991,23169,0,0,74150,10871,14.66%,11148,15973,6465
3/1/1991,80235,0,0,75025,81694,108.89%,9465,64225,6282
4/1/1991,27816,0,0,70614,5601,7.93%,13179,21383,10133
5/1/1991,14498,0,0,41772,394.2,0.94%,15090,12793,10548
6/1/1991,6163,0,0,36034,645.1,1.79%,13803,10238,7311
7/1/1991,7584,0,0,13024,920.6,7.07%,8754,13490,6162
8/1/1991,9928,0,0,16123,1043,6.47%,2538,14227,1442
9/1/1991,11447,0,0,17364,1004,5.78%,1744,12754,1291
10/1/1991,8729,0,0,16223,817,5.04%,1809,9451,1480
11/1/1991,6577,0,0,13788,389.3,2.82%,1698,6847,799.1
12/1/1991,10102,0,0,25142,2590,10.30%,933.1,7494,397.3
1/1/1992,22431,0,0,57454,2645,4.60%,1191,14611,513.9
2/1/1992,50899,419,0.0082319888,74431,35520,47.72%,4650,41287,1101
3/1/1992,24431,0,0,52168,3621,6.94%,5118,19841,2801
4/1/1992,16469,0,0,40096,1944,4.85%,5783,14147,3708
5/1/1992,11410,0,0,34120,1455,4.26%,4093,9939,1785
6/1/1992,4862,0,0,18135,1381,7.62%,3301,10896,2289
7/1/1992,5388,0,0,16674,978.3,5.87%,1919,11446,1224
8/1/1992,4640,0,0,9516,1270,13.35%,2147,9265,1416
9/1/1992,4640,0,0,9693,1125,11.61%,1626,5113,1129
10/1/1992,8445,0,0,12890,783.9,6.08%,1541,8622,1000
11/1/1992,7998,0,0,16842,618.5,3.67%,2646,7654,1304
12/1/1992,47435,0,0,75262,41100,54.61%,4993,39559,2241
1/1/1993,68952,12690,0.1840410721,77091,106564,138.23%,25341,52672,14473
2/1/1993,17454,8965,0.5136358428,40937,3895,9.51%,13447,12710,8283
3/1/1993,19107,0,0,45296,877.9,1.94%,13385,17169,10910
4/1/1993,12041,0,0,23930,451.2,1.89%,4260,11232,3246
5/1/1993,4853,0,0,12957,625.2,4.83%,3586,7527,3168
6/1/1993,6169,0,0,15068,851.9,5.65%,2961,13097,2593
7/1/1993,8287,0,0,20299,1013,4.99%,1005,13695,962
8/1/1993,4853,0,0,8763,1126,12.85%,1447,8636,1338
9/1/1993,4853,0,0,9255,1036,11.19%,1773,5183,1191
10/1/1993,6313,0,0,14135,820.4,5.80%,1522,6917,579.3
11/1/1993,6251,0,0,18301,691.7,3.78%,1541,5099,1055
12/1/1993,12910,0,0,24570,324.2,1.32%,1097,10592,417.1
1/1/1994,52632,0,0,72819,14136,19.41%,1861,40619,937.9
2/1/1994,88013,0,0,74844,90136,120.43%,7149,67056,3344
3/1/1994,46291,0,0,74071,38660,52.19%,6171,36040,3388
4/1/1994,24152,0,0,46991,5043,10.73%,9920,19764,7800
5/1/1994,23067,0,0,44548,703.2,1.58%,11751,17476,8994
6/1/1994,17356,0,0,54304,517.1,0.95%,17390,18277,9630
7/1/1994,9088,0,0,20337,799.8,3.93%,12827,14568,7370
8/1/1994,10485,0,0,18550,1729,9.32%,2949,14149,1480
9/1/1994,11907,0,0,23385,1400,5.99%,2549,12663,1542
10/1/1994,10372,0,0,20012,578.3,2.89%,2353,10329,1788
11/1/1994,15056,0,0,32464,643,1.98%,2066,13030,990.6
12/1/1994,18887,0,0,31733,272.9,0.86%,1324,16129,537.5
1/1/1995,19757,41327,2.091764944,53302,299.1,0.56%,1797,16628,448.7
2/1/1995,38591,8691,0.22520795,71239,4562,6.40%,2991,30719,774.9
3/1/1995,28310,67443,2.382303073,57913,4908,8.47%,1932,22714,1215
4/1/1995,20246,0,0,39545,2133,5.39%,3515,17503,2349
5/1/1995,5066,4900,0.9672325306,24657,436.7,1.77%,1438,7141,374.6
6/1/1995,5987,0,0,16549,1046,6.32%,962.7,11262,822.7
7/1/1995,7172,0,0,19938,964.1,4.84%,1261,12716,1181
8/1/1995,4925,0,0,9278,1416,15.26%,1646,8657,1232
9/1/1995,4925,0,0,10153,1103,10.86%,1730,6088,1162
10/1/1995,7178,0,0,13587,723.7,5.33%,1281,7554,930.6
11/1/1995,8658,0,0,17816,673.9,3.78%,1638,7777,1110
12/1/1995,8578,0,0,13717,270.2,1.97%,808.4,6982,209.9
1/1/1996,16699,1031,0.061740224,31792,1686,5.30%,1127,13569,545.1
2/1/1996,63078,36055,0.5715938996,74694,49765,66.63%,4557,52476,1662
3/1/1996,25701,5590,0.2175012645,60390,2484,4.11%,3748,20741,876.9
4/1/1996,19123,0,0,42737,623,1.46%,4258,16892,2184
5/1/1996,5669,0,0,15146,421.3,2.78%,2206,7724,612.6
6/1/1996,6549,0,0,16094,838.8,5.21%,1055,13098,948.1
7/1/1996,7077,0,0,19626,1056,5.38%,1367,11420,1308
8/1/1996,4919,0,0,12088,1106,9.15%,1817,9181,1167
9/1/1996,4886,0,0,9844,1090,11.07%,1723,4693,1138
10/1/1996,6320,0,0,14697,746.8,5.08%,1558,6111,953.4
11/1/1996,5969,0,0,13382,375,2.80%,1784,5242,796.3
12/1/1996,5213,12633,2.423364665,11794,266.9,2.26%,734.9,4153,164.5
1/1/1997,7191,52322,7.276039494,17729,313.9,1.77%,876,5155,288.5
2/1/1997,8784,0,0,19798,1707,8.62%,1100,5785,376.9
3/1/1997,15269,0,0,28949,1309,4.52%,2104,12170,1156
4/1/1997,11147,0,0,19835,352.5,1.78%,2670,9707,1559
5/1/1997,7227,0,0,10426,543,5.21%,1134,10788,704.8
6/1/1997,9131,0,0,14969,940.4,6.28%,1231,16043,993.7
7/1/1997,8103,0,0,11547,1171,10.14%,1157,12765,1146
8/1/1997,4593,0,0,7462,1123,15.05%,1052,9147,1063
9/1/1997,4034,0,0,7806,1064,13.63%,1316,4727,1296
10/1/1997,4034,0,0,8139,749.8,9.21%,1311,4551,936.1
11/1/1997,7225,0,0,14897,454.1,3.05%,1871,5264,834.3
12/1/1997,16136,0,0,27760,2080,7.49%,1359,9500,668.7
1/1/1998,18408,21219,1.152705346,31416,1739,5.54%,1225,12067,627.9
2/1/1998,12632,84713.3,6.706246042,29067,277.4,0.95%,854,9077,271.2
3/1/1998,14480,18071,1.247997238,30341,242.2,0.80%,711.4,12591,169.6
4/1/1998,10060,0,0,22080,326,1.48%,999.5,8924,591.7
5/1/1998,6504,6434,0.9892373924,13478,462.1,3.43%,1265,8972,423
6/1/1998,6112,8914,1.458442408,14538,684.7,4.71%,948.8,13353,864.9
7/1/1998,7305,0,0,17870,990.5,5.54%,1022,13070,1057
8/1/1998,5422,0,0,11218,1178,10.50%,1310,9771,1297
9/1/1998,4611,0,0,8663,1103,12.73%,1123,5285,1139
10/1/1998,4611,0,0,8703,748.1,8.60%,907.6,5351,681.8
11/1/1998,4611,0,0,11053,359.7,3.25%,1367,4119,894.9
12/1/1998,26476,832,0.0314246865,45338,4636,10.23%,1435,17201,673.5
1/1/1999,38828,0,0,65319,6087,9.32%,763.2,28453,256.9
2/1/1999,11364,28798,2.534142907,21618,1539,7.12%,1247,7858,641.5
3/1/1999,19785,8433,0.4262319939,37056,1707,4.61%,1154,16252,415.3
4/1/1999,20475,0,0,34601,2007,5.80%,3609,16895,2594
5/1/1999,9175,0,0,23460,415.6,1.77%,946.1,8166,370
6/1/1999,8522,0,0,19175,658,3.43%,1611,15306,884.9
7/1/1999,7340,0,0,19164,997.4,5.20%,1138,13044,1158
8/1/1999,5005,0,0,14693,1133,7.71%,1335,8556,1318
9/1/1999,5433,0,0,12581,1009,8.02%,1242,6562,1220
10/1/1999,6037,0,0,14940,722.8,4.84%,927.6,6403,659.7
11/1/1999,5467,0,0,17685,385,2.18%,1931,4369,1064
12/1/1999,18346,0,0,35163,1405,4.00%,918.9,12621,325.2
1/1/2000,19857,0,0,34184,424.7,1.24%,656,14165,215.9
2/1/2000,56926,36768,0.6458911569,70961,21847,30.79%,1109,45098,470.2
3/1/2000,22834,9345,0.4092581239,49544,3359,6.78%,1102,18740,260.1
4/1/2000,11215,0,0,21393,691.9,3.23%,1994,9977,1668
5/1/2000,8355,0,0,12792,690.3,5.40%,1426,10602,624.8
6/1/2000,8424,0,0,14299,844.1,5.90%,834.4,15351,850.2
7/1/2000,10969,0,0,23583,1003,4.25%,849.7,16502,965.5
8/1/2000,6740,0,0,15652,1283,8.20%,1240,10907,1277
9/1/2000,6668,0,0,10511,1129,10.74%,1173,7236,1128
10/1/2000,4264,0,0,10226,773.2,7.56%,1624,4373,1104
11/1/2000,5216,0,0,10230,272.2,2.66%,1460,4187,999.9
12/1/2000,9670,0,0,21536,1101,5.11%,1626,6334,864.4
1/1/2001,12478,0,0,26638,320.6,1.20%,6012,7283,3200
2/1/2001,11555,0,0,23608,1129,4.78%,7372,7604,3142
3/1/2001,21826,0,0,36442,2653,7.28%,3798,18276,1338
4/1/2001,12508,0,0,24979,492.8,1.97%,6810,10772,5471
5/1/2001,10570,0,0,27144,427.6,1.58%,5176,8813,1563
6/1/2001,7363,0,0,20870,1488,7.13%,2347,11108,806.7
7/1/2001,4882,0,0,15933,836,5.25%,1566,11252,995.7
8/1/2001,4540,0,0,10288,1140,11.08%,2121,9022,1368
9/1/2001,4540,0,0,9248,1135,12.27%,1763,4926,1203
10/1/2001,5708,0,0,10403,666.4,6.41%,1388,6336,812.9
11/1/2001,7116,0,0,17083,608.1,3.56%,1215,5891,594.9
12/1/2001,40722,1442,0.0354108344,73068,3645,4.99%,781.3,30574,184.7
1/1/2002,43669,9558,0.2188738006,73044,19511,26.71%,4783,33936,1722
2/1/2002,32261,0,0,71298,3857,5.41%,5717,25734,2024
3/1/2002,33353,0,0,65639,6059,9.23%,6003,25861,4714
4/1/2002,32103,0,0,75192,41759,55.54%,17950,24799,9820
5/1/2002,20460,0,0,54315,1498,2.76%,14544,18790,10423
6/1/2002,6961,0,0,18150,651.1,3.59%,4472,13035,3082
7/1/2002,5476,0,0,15198,1138,7.49%,2280,10539,1732
8/1/2002,5153,0,0,9784,1227,12.54%,2386,9390,1585
9/1/2002,11091,0,0,15978,1091,6.83%,1848,11297,1215
10/1/2002,9117,0,0,13324,824.5,6.19%,1687,9297,712.1
11/1/2002,7957,0,0,16078,380,2.36%,1463,7073,1023
12/1/2002,11833,7571,0.63982084,22660,254.6,1.12%,864.5,9639,298.5
1/1/2003,7211,19050,2.641797254,14983,243.6,1.63%,682.4,5161,202.2
2/1/2003,11736,0,0,30286,1030,3.40%,793.3,7808,243.3
3/1/2003,13856,0,0,31777,331.2,1.04%,1601,11873,1063
4/1/2003,9379,0,0,19517,538.9,2.76%,1431,8513,986
5/1/2003,4285,5446,1.270945158,7963,460.4,5.78%,1286,7226,556.5
6/1/2003,4633,0,0,8844,907.9,10.27%,823.8,11956,793.3
7/1/2003,8151,0,0,18940,985.4,5.20%,891.1,12775,978.5
8/1/2003,5307,0,0,14967,1365,9.12%,1132,9508,1158
9/1/2003,4547,0,0,8552,1035,12.10%,1307,4998,1248
