Date,American River,Antelope Creek,Battle Creek,Bear Creek,Bear River,Big Chico Creek,Butte Creek,Calaveras River,Clear Creek,Cosumnes River,Cottonwood Creek,Cow Creek,Deer Creek,Elder Creek,Feather River,Merced River,Mill Creek,Mokelumne River,Paynes Creek,Sacramento River (Upper),Sacramento River (Upper Mid),Sacramento River (Lower),San Joaquin River,Stanislaus River,Stony Creek,Thomes Creek,Tuolumne River,Yuba River,Yolo Bypass,Sutter Bypass
7/31/1971,1535,17.70932289,58.62193497,13.85820615,0.25635775,42.2235216,90.04026371,13.01,85,66.03691752,104.8102757,79.00472663,44.18620247,11.85622114,10488,257.4,37.54964976,346,7.983670181,9396,4848,19015,1528,477.4,141.1927207,36.53665713,250,1702,0,0
8/31/1971,1547,25.51675252,84.46632413,19.96781124,84.62601007,28.67536096,61.14925911,13.77,85,69.40505764,151.0175112,113.8351856,63.66637508,17.08322009,5797,189.5,54.10399519,322,11.50339499,8497,4522,12916,1568,452.7,95.88854925,52.64440905,250,686.7,0,0
9/30/1971,1521,43.30306376,143.3431083,33.88626365,102.085003,44.72916152,95.38345797,14.35,150,199.6188429,256.2834322,193.1833722,108.0446698,28.99098419,1000,102.8,91.81688584,322,19.52177286,5984,4522,9130,1427.5,1173,149.5714182,89.33990325,250,515.1,0,0
10/31/1971,2895,131.2114027,434.3399442,102.67782,464.4492443,106.8543225,227.8633096,19.83,200,433.453214,776.5572618,585.3595343,327.3831327,87.84477055,1700,358.6,278.2117784,204,59.15237807,6035,6471,15536,1248.5,847,357.3139315,270.7063427,828.4,694.7,0,0
11/30/1971,3798,177.4243473,587.315428,138.841174,428.3513701,161.3334699,344.0382901,852.3,200,307.982875,1050.062438,791.52445,442.6881923,118.783892,1700,386.2,376.1985788,378,79.98597576,5948,6912,14552,1352.9,300,539.488671,366.0497122,496.7,851.8,0,0
12/31/1971,1739,595.548079,1971.401221,466.0386002,2555.325239,690.2435448,1471.921536,21.18,200,1687.265001,3524.672217,2656.855571,1485.940946,398.7137039,1700,423.2,1262.759843,730,268.4834124,4465,5838,11991,477.5,317.4,2308.129695,1228.693841,1654,1118,0,0
1/31/1972,1439,640.817012,2121.251809,501.46323,2208.18481,699.6558744,1491.993018,4.529,200,2870.32011,3792.590385,2858.809068,1598.890619,429.0208186,1700,270,1358.745025,509,288.8914332,4085,4713,9365,343.95,379.4,2339.603915,1322.089591,1593,653.5,0,0
2/29/1972,1181,315.6993908,1045.037649,247.0465566,730.15753,297.7638501,634.9715647,5.631,200,882.9530126,1868.424919,1408.396257,787.6956838,211.357702,1700,487.9,669.3876231,799,142.3227657,4600,6583,12148,617.8,364.3,995.7030232,651.3292728,801.8,865,0,0
3/31/1972,1300,128.0053935,423.7273158,100.1689981,881.4585683,90.27300413,192.5041964,25.09,200,522.3857356,757.5829221,571.056905,319.3838787,85.69837826,1700,267.4,271.4139735,1013,57.70705347,8116,9809,16291,519.4,200.1,301.8670772,264.091925,300,1233,0,0
4/30/1972,1257,61.57837934,203.8386093,48.18738019,696.7192216,72.67400785,154.9749188,6.332,200,215.9561555,364.4434605,274.713102,153.6430701,41.22613198,2555,305.9,130.5666282,840,27.76060237,5861,7497,14365,285.9,1636,243.0171739,127.0442776,341.3,1323,0,0
5/31/1972,718.6,39.27904851,130.0226916,30.73732151,92.81356197,53.58362845,114.2653159,9.387,277.4,50.29131064,232.4678323,175.2314591,98.00442407,26.29694473,1855,291.8,83.28463622,528,17.70767693,6676,4095,7740,568.45,1506,179.180182,81.03783171,323.5,2000,0,0
6/30/1972,188,26.08390628,86.34373362,20.41163023,17.54423785,40.46806058,86.29680111,14.22,200,61.52991362,154.3741354,116.3653686,65.0814699,17.46292407,2058,285,55.30654964,247,11.75907775,10814,5428,8196,702.4,410.3,135.3225727,53.81452169,50,1500,0,0
7/31/1972,188,22.89391447,75.78412645,17.91534256,0.243809136,38.88155233,82.91362472,13.22,85,89.95746312,135.4945924,102.1341959,57.12218058,15.32725527,5375,241.9,48.54270687,11,10.32097407,12803,8475,14814,882.2,313.7,130.0173919,47.23314994,50,700,0,0
8/31/1972,188,24.18770663,80.06687631,18.92778323,42.07915592,46.04508968,98.18963127,13.52,85,46.9858568,143.1517296,107.9060539,60.35029737,16.19343667,1717,222.9,51.28597622,10,10.90423803,5972,4095,7086,986.7,319.2,153.9717967,49.90241296,50,600,0,0
9/30/1972,281,40.14679546,132.8951337,31.4163659,123.9105549,46.74625422,99.68484146,11.65,150,112.2806888,237.6034774,179.1026467,100.1695234,26.87789295,5160,17,85.12454813,11,18.09887232,4793,4095,11702,1175.5,278.5,156.3164455,82.82810755,50,500,0,0
10/31/1972,457,314.1053722,1039.761081,245.7991776,1135.902253,249.0545421,531.1005761,8.72,200,1111.927207,1858.990932,1401.285031,783.7184777,210.2905219,2997,306.3,666.007774,149,141.6041545,5790,4929,9351,557.3,779.2,832.8222532,648.0406033,126,403.7,0,0
11/30/1972,456.5,657.1981275,2175.477071,514.2820641,1855.65847,600.639312,1280.843473,5.374,200,2602.734533,3889.539841,2931.888403,1639.762836,439.9878176,1700,411.9,1393.478433,317,296.2763244,4176,4107,6964,676.05,200,2008.498945,1355.885982,150,114.7,0,0
12/31/1972,500,814.0362952,2694.647506,637.0137842,1925.627583,812.1023312,1731.781369,13.58,200,1841.428734,4817.765709,3631.57391,2031.086834,544.9894606,1518,431.8,1726.02747,462,366.981693,3627,4280,7474,367.85,200,2715.617581,1679.463704,159.7,434.3,0,0
1/31/1973,495.7,307.8081142,1018.915707,240.871338,652.0142658,270.0634873,575.901457,49.81,200,992.3532125,1821.721447,1373.19174,768.0063063,206.0745684,1553,474.5,652.6554943,2481,138.7652413,4112,5097,10629,371.4,225.9,903.0748046,635.0485337,167.5,392.4,0,0
2/28/1973,244.3,579.2959159,1917.60282,453.3206759,1856.029058,506.0242819,1079.08005,8.593,150,1313.549512,3428.485948,2584.351517,1445.390476,387.8330372,1528,922.9,1228.299856,3173,261.1566551,3905,4986,8321,352.9,228.6,1692.112415,1195.163496,150,431.5,0,0
3/31/1973,107.5,250.6216769,829.615437,196.1208164,949.7405453,208.1785314,443.9338347,37.15,150,792.7630979,1483.271112,1118.071944,625.3214892,167.7887993,1535,1232.3,531.4012427,2112,112.9846026,4102,4624,8328,727.4,200.1,696.1355215,517.0654088,150,485.4,0,0
4/30/1973,-38.76,138.29322,457.7823896,108.2196063,1399.798295,143.0230976,304.9920267,8.936,150,492.0194387,818.4700572,616.9528959,345.0528435,92.58597905,1243,325.5,293.2275846,1357,62.34498426,6031,5694,7900,349.75,1026,478.2599724,285.3170612,246.2,635.8,0,0
5/31/1973,-192.9,64.90729145,214.8580746,50.79237817,303.8703331,85.60389364,182.5474727,8.959,237.1,83.45002527,384.1451847,289.5640251,161.9489768,43.45480658,1000,2357.1,137.6250281,1382,29.26133374,4132,3648,5854,952.5,1037,286.2538743,133.9122601,237.3,380.7,0,0
6/30/1973,96.66,52.25730501,172.9837078,40.89329164,185.2218502,69.85433871,148.9620676,8.219,50,172.3375088,309.2779199,233.1299804,130.3862307,34.98576248,1462,798.6,110.802853,759,23.55850026,13097,7113,6715,574.9,298.5,233.588383,107.813678,50,0,0,0
7/31/1973,188,33.18422118,109.8474102,25.96789164,48.61286425,60.66748545,129.3714068,13.9,85,33.33849845,196.3964062,148.0412514,82.79733365,22.21651652,1472,651.7,70.36157682,355,14.96002296,11683,6846,8271,797.6,328.9,202.8681409,68.46340309,50,0,0,0
8/31/1973,73.09,27.83627866,92.14448952,21.78292702,59.66022452,53.29665862,113.6533623,14.9,85,20.28480293,164.7453186,124.1830419,69.45378164,18.6361205,1471,1064.2,59.02216142,350,12.54907764,8626,5104,6529,1139.5,331.8,178.2205735,57.42989585,50,0,0,0
9/30/1973,281,35.41509941,117.2321307,27.71363712,127.40157,48.60231477,103.6428292,16.54,30,76.71228525,209.5995627,157.9936322,88.36355647,23.71006801,1513,576.1,75.09178004,370,15.9657416,3892,3250,6844,1181.5,279.9,162.5229918,73.06599764,50,46.83,0,0
10/31/1973,375,36.8913116,122.1187328,28.86882826,147.9358751,34.15711354,72.83891521,6.06,30,105.1231459,218.3363285,164.5793013,92.04682608,24.69837786,1490,819.2,78.22184047,222,16.63124368,11022,9716,11569,687.5,642.7,114.2191747,76.11161712,126,73.88,0,0
11/30/1973,375,113.327956,375.1416194,88.68335545,461.1736556,102.1644038,217.8622131,118.8,70,328.8981241,670.7164576,505.5780077,282.7624772,75.87197522,1561,776.5,240.2929284,1826,51.09020987,4230,5070,11223,289.75,200.2,341.6311474,233.8104454,150,695.7,0,0
12/31/1973,1160,102.0672097,337.8659573,79.87140116,277.0123253,73.35643659,156.4301755,121.8,150,143.411535,604.0712261,455.3416328,254.6659984,68.33301401,1589,1094.6,216.416404,2081,46.01366996,6230,8206,16893,578.65,200.2,245.2991714,210.578048,153.9,989.6,0,0
1/31/1974,17098,439.1492379,1453.685058,343.6506695,1273.895899,475.7749993,1014.574455,461.8,150,1149.368769,2599.046446,1959.129985,1095.713104,294.0061859,1700,1689.8,931.1423244,3201,197.9760998,18128,31953,73192,1167.25,220.2,1590.960773,906.022508,159.9,6737,0,0
2/28/1974,5310,665.2472949,2202.121668,520.580838,1397.880695,659.328747,1405.996752,349.6,200,1457.431406,3937.17777,2967.797301,1659.846164,445.3766577,4590,870.4,1410.545343,858,299.9050288,18886,27222,48692,5480.5,221.7,2204.752614,1372.492471,150,3116,0,0
3/31/1974,16745,278.4099715,921.6010881,217.8661942,958.491626,237.2467999,505.9209562,696.3,200,698.1800496,1647.732443,1242.04092,694.6555465,186.3927949,12269,1135.1,590.3216619,3074,125.5120482,21762,27697,72767,9258.5,337.6,793.3379282,574.3963072,150,7572,0,0
4/30/1974,3698,144.250397,477.5020165,112.8813197,1271.311531,154.885146,330.2874525,4.604,200,698.9496158,853.7268179,643.5290186,359.9164851,96.57425166,10003,323.4,305.8587795,2395,65.03058305,19890,24007,48185,11960,1577,517.9258934,297.6074991,2190,5124,0,0
5/31/1974,3952,53.74392826,177.904773,42.05662981,329.1863973,71.01848206,151.4445648,5.511,277.4,173.1026461,318.0763022,239.7620952,134.0954768,35.98104243,6444,1710.4,113.9549883,1915,24.22869582,8311,7521,25917,10183,1560,237.4812029,110.8807769,4226,7370,0,0
6/30/1974,4862,32.50413585,107.5961713,25.43569949,40.58436435,54.28386248,115.7585419,9.429,200,83.79507158,192.3714115,145.0072588,81.1004654,21.76120595,4143,869.6,68.91956992,1283,14.6534287,14029,6393,16495,3446.5,469.6,181.5217192,67.06029782,3282,2290,0,0
7/31/1974,2183,26.04866342,86.22707163,20.38405137,13.27524068,50.58746223,107.8760905,12.92,85,76.95075344,154.1655552,116.2081433,64.99353608,17.43932932,9160,895.7,55.23182306,701,11.74318966,13010,6811,18993,1538,313.1,169.1611963,53.74181103,250,700,0,0
8/31/1974,1351,24.85126491,82.26340695,19.44704235,62.91849338,56.35186562,120.1684902,14.01,85,17.02315362,147.0789111,110.8663162,62.0059293,16.63768254,8066,1082.2,52.69294029,635,11.20338162,9977,5064,15124,1647.5,340.7,188.4369877,51.27142077,250,600,0,0
